"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos"
36727;"10/06/16";"Sexta";"18:30:00";"RJ";101;"66";"CAMPOS DOS GOYTACAZES";"Outras";"Colisão com objeto fixo";"";"Plena noite";"Decrescente";"Nublado";"Múltipla";"Reta";"Urbano";2;0;0;0;2;0;0;2
83425846;"01/01/16";"Sexta";"01:30:00";"SC";101;"135,5";"BALNEARIO CAMBORIU";"Falta de atenção";"Colisão traseira";"Com Vítimas Feridas";"Plena noite";"Crescente";"Vento";"Simples";"Reta";"Urbano";2;0;1;0;1;0;1;2
83425850;"01/01/16";"Sexta";"01:00:00";"PR";277;"2";"PARANAGUA";"Ingestão de álcool";"Colisão traseira";"Com Vítimas Feridas";"Plena noite";"Crescente";"Ceu Claro";"Dupla";"Reta";"Urbano";2;0;1;0;1;0;1;2
83425852;"01/01/16";"Sexta";"01:45:00";"PR";476;"357";"UNIAO DA VITORIA";"Outras";"Colisão com bicicleta";"Com Vítimas Feridas";"Plena noite";"Decrescente";"Nublado";"Simples";"Reta";"Urbano";2;0;0;1;0;1;1;2
83425853;"01/01/16";"Sexta";"02:00:00";"SE";101;"94,2";"NOSSA SENHORA DO SOCORRO";"Falta de atenção";"Queda de motocicleta / bicicleta / veículo";"Com Vítimas Feridas";"Plena noite";"Decrescente";"Ceu Claro";"Dupla";"Reta";"Rural";1;0;1;0;0;0;1;1
83425855;"01/01/16";"Sexta";"02:20:00";"SC";282;"3";"FLORIANOPOLIS";"Falta de atenção";"Colisão lateral";"Com Vítimas Feridas";"Plena noite";"Decrescente";"Ceu Claro";"Dupla";"Reta";"Urbano";3;0;2;0;1;0;2;2
83425856;"01/01/16";"Sexta";"01:10:00";"MG";50;"61";"UBERLANDIA";"Velocidade incompatível";"Colisão lateral";"Com Vítimas Feridas";"Plena noite";"Decrescente";"Nublado";"Dupla";"Reta";"Rural";4;0;1;0;3;0;1;3
83425858;"01/01/16";"Sexta";"02:10:00";"PR";476;"152";"ARAUCARIA";"Velocidade incompatível";"Colisão traseira";"Com Vítimas Feridas";"Plena noite";"Decrescente";"Nublado";"Dupla";"Curva";"Urbano";2;0;1;0;1;0;1;2
83425860;"01/01/16";"Sexta";"01:45:00";"MS";163;"257,3";"DOURADOS";"Velocidade incompatível";"Colisão traseira";"Com Vítimas Feridas";"Plena noite";"Decrescente";"Ceu Claro";"Dupla";"Reta";"Urbano";2;0;0;1;1;0;1;2
83425861;"01/01/16";"Sexta";"02:30:00";"SC";101;"207,8";"SAO JOSE";"Falta de atenção";"Colisão lateral";"Com Vítimas Feridas";"Plena noite";"Decrescente";"Ceu Claro";"Múltipla";"Curva";"Urbano";5;0;2;2;1;0;4;2
