id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia
1000018;28/10/2011;Sexta;21:30:00;RJ;101;316.0;SAO GONCALO;Outras;Colisao traseira;Sem Vitimas;Plena noite
1000157;29/10/2011;Sabado;07:40:00;RJ;101;322.0;NITEROI;Outras;Colisao traseira;Sem Vitimas;Pleno dia
1000170;29/10/2011;Sabado;08:00:00;RJ;101;322.0;NITEROI;Outras;Queda de motocicleta / bicicleta / veiculo;Com Vitimas Feridas;Pleno dia
1000227;29/10/2011;Sabado;11:10:00;RJ;101;323.0;NITEROI;Outras;Colisao traseira;Sem Vitimas;Pleno dia
1000300;29/10/2011;Sabado;13:00:00;RJ;101;322.0;NITEROI;Outras;Colisao traseira;Com Vitimas Feridas;Pleno dia
1000303;29/10/2011;Sabado;10:20:00;RJ;101;325.0;NITEROI;Outras;Colisao traseira;Sem Vitimas;Pleno dia
1000310;29/10/2011;Sabado;15:50:00;RJ;101;305.0;SAO GONCALO;Outras;Capotamento;Com Vitimas Feridas;Pleno dia
1000324;29/10/2011;Sabado;16:40:00;RJ;101;323.0;NITEROI;Outras;Colisao traseira;Sem Vitimas;Pleno dia
1000368;29/10/2011;Sabado;17:30:00;RJ;101;329.0;RIO DE JANEIRO;Outras;Colisao lateral;Sem Vitimas;Anoitecer
1000538;29/10/2011;Sabado;23:05:00;RJ;101;315.0;SAO GONCALO;Outras;Colisao lateral;Sem Vitimas;Plena noite
1000567;30/10/2011;Domingo;00:30:00;RJ;101;322.0;NITEROI;Outras;Queda de motocicleta / bicicleta / veiculo;Com Vitimas Feridas;Plena noite
1000628;30/10/2011;Domingo;05:50:00;RJ;101;313.0;SAO GONCALO;Outras;Saida de Pista;Sem Vitimas;Amanhecer
1000977;30/10/2011;Domingo;19:00:00;RJ;101;310.0;SAO GONCALO;Outras;Colisao traseira;Sem Vitimas;Plena noite
1001076;31/10/2011;Segunda;17:00:00;RJ;101;320.0;NITEROI;Outras;Colisao traseira;Sem Vitimas;Pleno dia
1001105;31/10/2011;Segunda;08:30:00;RJ;101;312.0;SAO GONCALO;Outras;Saida de Pista;Sem Vitimas;Pleno dia
1001109;31/10/2011;Segunda;17:30:00;RJ;101;321.0;NITEROI;Falta de atencao;Colisao traseira;Sem Vitimas;Pleno dia
1001146;31/10/2011;Segunda;18:00:00;RJ;101;330.0;RIO DE JANEIRO;Outras;Colisao traseira;Sem Vitimas;Pleno dia
1001149;31/10/2011;Segunda;15:00:00;RJ;101;322.0;NITEROI;Desobediencia a sinalizacao;Colisao traseira;Sem Vitimas;Pleno dia
1001256;30/10/2011;Domingo;08:00:00;RJ;101;304.0;SAO GONCALO;Outras;Capotamento;Sem Vitimas;Pleno dia
1001284;31/10/2011;Segunda;21:00:00;RJ;101;319.0;SAO GONCALO;Nao guardar distancia de seguranca;Colisao traseira;Sem Vitimas;Plena noite
1001309;31/10/2011;Segunda;23:30:00;RJ;101;319.0;NITEROI;Outras;Capotamento;Sem Vitimas;Plena noite
1001371;28/10/2011;Sexta;22:00:00;RJ;101;333.0;RIO DE JANEIRO;Falta de atencao;Colisao lateral;Sem Vitimas;Plena noite
1001379;28/10/2011;Sexta;23:00:00;RJ;101;322.0;NITEROI;Falta de atencao;Colisao com objeto fixo;Sem Vitimas;Plena noite
1001383;28/10/2011;Sexta;21:50:00;RJ;101;334.0;RIO DE JANEIRO;Falta de atencao;Colisao lateral;Sem Vitimas;Plena noite
1001524;28/10/2011;Sexta;22:00:00;RJ;101;326.0;NITEROI;Falta de atencao;Colisao lateral;Sem Vitimas;Plena noite
1001552;28/10/2011;Sexta;13:00:00;RJ;101;325.0;NITEROI;Falta de atencao;Colisao traseira;Sem Vitimas;Pleno dia
1001703;01/11/2011;Terca;15:30:00;RJ;101;319.0;SAO GONCALO;Outras;Colisao traseira;Sem Vitimas;Pleno dia
1001716;01/11/2011;Terca;13:00:00;RJ;101;319.0;SAO GONCALO;Outras;Saida de Pista;Sem Vitimas;Plena noite
1001739;01/11/2011;Terca;16:30:00;RJ;101;304.0;SAO GONCALO;Outras;Colisao traseira;Com Vitimas Feridas;Pleno dia
1001803;01/11/2011;Terca;20:20:00;RJ;101;316.0;SAO GONCALO;Outras;Capotamento;Com Vitimas Feridas;Plena noite
1001977;02/11/2011;Quarta;05:35:00;RJ;101;328.0;NITEROI;Outras;Capotamento;Com Vitimas Feridas;Amanhecer
1002086;02/11/2011;Quarta;06:30:00;RJ;101;317.0;SAO GONCALO;Ingestao de alcool;Colisao traseira;Com Vitimas Feridas;Pleno dia
1002331;02/11/2011;Quarta;17:20:00;RJ;101;316.0;SAO GONCALO;Outras;Saida de Pista;Sem Vitimas;Pleno dia
1002386;31/10/2011;Segunda;20:55:00;RJ;101;333.0;RIO DE JANEIRO;Velocidade incompativel;Colisao traseira;Sem Vitimas;Plena noite
1002428;02/11/2011;Quarta;23:30:00;RJ;101;330.0;RIO DE JANEIRO;Outras;Capotamento;Sem Vitimas;Plena noite
1002502;29/10/2011;Sabado;17:40:00;RJ;101;322.0;NITEROI;Outras;Colisao com objeto fixo;Sem Vitimas;Anoitecer
1002508;03/11/2011;Quinta;06:30:00;RJ;101;310.0;SAO GONCALO;Outras;Saida de Pista;Sem Vitimas;Amanhecer
1002597;03/11/2011;Quinta;07:00:00;RJ;101;316.0;SAO GONCALO;Outras;Colisao lateral;Sem Vitimas;Pleno dia
1002651;03/11/2011;Quinta;09:45:00;RJ;101;321.2;NITEROI;Falta de atencao;Colisao traseira;Sem Vitimas;Pleno dia
1002761;03/11/2011;Quinta;06:05:00;RJ;101;330.0;RIO DE JANEIRO;Outras;Colisao traseira;Sem Vitimas;Pleno dia
1002775;26/10/2011;Quarta;16:40:00;RJ;101;322.0;NITEROI;Outras;Colisao lateral;Sem Vitimas;Pleno dia
1002802;03/11/2011;Quinta;15:29:00;RJ;101;321.0;NITEROI;Outras;Colisao lateral;Sem Vitimas;Pleno dia
1003128;04/11/2011;Sexta;07:20:00;RJ;101;319.0;SAO GONCALO;Outras;Colisao lateral;Sem Vitimas;Pleno dia
1003420;04/11/2011;Sexta;16:30:00;RJ;101;307.0;SAO GONCALO;Nao guardar distancia de seguranca;Colisao traseira;Sem Vitimas;Pleno dia
1003507;05/11/2011;Sabado;23:15:00;RJ;101;309.0;SAO GONCALO;Outras;Colisao traseira;Sem Vitimas;Plena noite
1003514;05/11/2011;Sabado;23:00:00;RJ;101;309.0;SAO GONCALO;Outras;Colisao traseira;Sem Vitimas;Plena noite
1003616;30/10/2011;Domingo;22:30:00;RJ;101;322.0;NITEROI;Outras;Colisao lateral;Sem Vitimas;Plena noite
1003642;30/10/2011;Domingo;22:30:00;RJ;101;322.0;NITEROI;Outras;Colisao traseira;Sem Vitimas;Plena noite
1003841;06/11/2011;Domingo;14:45:00;RJ;101;322.0;NITEROI;Outras;Colisao lateral;Sem Vitimas;Pleno dia
1003954;05/11/2011;Sabado;20:00:00;RJ;101;312.0;SAO GONCALO;Outras;Colisao traseira;Sem Vitimas;Plena noite
